年份,性別,地區,縣市,cancer,癌症發生數,平均年齡,年齡中位數
2010,全,北北基,台北市,口腔,423,57.80,56.00
2010,全,北北基,台北市,食道,184,61.80,57.00
2010,全,北北基,台北市,胃,533,71.20,74.00
2010,全,北北基,台北市,大腸,1820,66.70,67.00
2010,全,北北基,台北市,肝,1028,66.50,68.00
2010,全,北北基,台北市,肺,1405,69.20,71.00
2010,全,北北基,台北市,皮膚,322,67.00,70.00
2010,全,北北基,台北市,甲狀腺,387,48.70,49.00
2010,全,北北基,台北市,白血病,281,60.40,62.00
2010,全,北北基,台北市,非何杰金氏淋巴瘤,330,63.20,64.00
2010,全,中彰投,台中市,口腔,708,54.20,53.00
2010,全,中彰投,台中市,食道,251,59.50,57.00
2010,全,中彰投,台中市,胃,414,66.90,68.50
2010,全,中彰投,台中市,大腸,1572,64.70,65.00
2010,全,中彰投,台中市,肝,1160,64.10,65.00
2010,全,中彰投,台中市,肺,1042,67.40,69.00
2010,全,中彰投,台中市,皮膚,278,66.60,70.00
2010,全,中彰投,台中市,甲狀腺,218,46.10,46.00
2010,全,中彰投,台中市,白血病,229,54.90,59.00
2010,全,中彰投,台中市,非何杰金氏淋巴瘤,216,57.80,60.50
2010,全,雲嘉南,台南市,口腔,518,54.30,53.00
2010,全,雲嘉南,台南市,食道,158,57.80,55.00
2010,全,雲嘉南,台南市,胃,307,68.70,70.00
2010,全,雲嘉南,台南市,大腸,1272,66.20,67.00
2010,全,雲嘉南,台南市,肝,1241,64.00,65.00
2010,全,雲嘉南,台南市,肺,987,67.80,69.00
2010,全,雲嘉南,台南市,皮膚,357,71.60,75.00
2010,全,雲嘉南,台南市,甲狀腺,243,48.80,48.00
2010,全,雲嘉南,台南市,白血病,174,56.80,61.00
2010,全,雲嘉南,台南市,非何杰金氏淋巴瘤,181,61.60,64.00
2010,全,高屏,高雄市,口腔,941,53.70,53.00
2010,全,高屏,高雄市,食道,292,56.20,55.00
2010,全,高屏,高雄市,胃,405,66.40,68.00
2010,全,高屏,高雄市,大腸,1917,65.40,66.00
2010,全,高屏,高雄市,肝,1662,63.10,63.00
2010,全,高屏,高雄市,肺,1256,66.90,68.00
2010,全,高屏,高雄市,皮膚,447,70.20,74.00
2010,全,高屏,高雄市,甲狀腺,294,49.40,50.00
2010,全,高屏,高雄市,白血病,213,54.30,58.00
2010,全,高屏,高雄市,非何杰金氏淋巴瘤,243,59.20,60.00
2010,全,北北基,基隆市,口腔,83,54.80,52.00
2010,全,北北基,基隆市,食道,46,59.20,56.50
2010,全,北北基,基隆市,胃,80,68.50,69.00
2010,全,北北基,基隆市,大腸,222,64.40,64.00
2010,全,北北基,基隆市,肝,190,64.20,64.00
2010,全,北北基,基隆市,肺,188,68.80,72.00
2010,全,北北基,基隆市,皮膚,35,71.30,76.00
2010,全,北北基,基隆市,甲狀腺,34,51.70,53.50
2010,全,北北基,基隆市,白血病,36,56.80,61.00
2010,全,北北基,基隆市,非何杰金氏淋巴瘤,26,62.30,67.00
2010,全,雲嘉南,嘉義,口腔,369,55.80,55.00
2010,男,雲嘉南,嘉義,口腔,350,55.35,54.00
2010,女,雲嘉南,嘉義,口腔,19,62.80,64.75
2011,全,雲嘉南,嘉義,口腔,360,56.25,55.50
2011,男,雲嘉南,嘉義,口腔,341,55.45,55.25
2011,女,雲嘉南,嘉義,口腔,19,65.05,67.25
2010,全,北北基,新北市,口腔,1038,54.40,53.00
2010,全,北北基,新北市,食道,376,59.10,57.00
2010,全,北北基,新北市,胃,669,66.50,67.00
2010,全,北北基,新北市,大腸,2303,64.10,63.00
2010,全,北北基,新北市,肝,1582,62.70,62.00
2010,全,北北基,新北市,肺,1763,67.40,68.00
2010,全,北北基,新北市,皮膚,387,66.70,70.00
2010,全,北北基,新北市,甲狀腺,495,46.30,47.00
2010,全,北北基,新北市,白血病,332,53.70,57.00
2010,全,北北基,新北市,非何杰金氏淋巴瘤,372,59.60,60.50
2010,全,桃竹苗,桃園市,口腔,480,53.30,51.50
2010,全,桃竹苗,桃園市,食道,161,59.40,58.00
2010,全,桃竹苗,桃園市,胃,332,67.80,70.00
2010,全,桃竹苗,桃園市,大腸,1081,64.60,64.00
2010,全,桃竹苗,桃園市,肝,696,64.20,65.00
2010,全,桃竹苗,桃園市,肺,792,68.90,71.00
2010,全,桃竹苗,桃園市,皮膚,184,66.50,71.00
2010,全,桃竹苗,桃園市,甲狀腺,183,46.00,46.00
2010,全,桃竹苗,桃園市,白血病,185,55.10,58.00
2010,全,桃竹苗,桃園市,非何杰金氏淋巴瘤,175,60.80,63.00
2010,全,東部,宜蘭縣,口腔,99,54.00,53.00
2010,全,東部,宜蘭縣,食道,53,59.60,58.00
2010,全,東部,宜蘭縣,胃,120,70.10,73.00
2010,全,東部,宜蘭縣,大腸,297,67.20,68.00
2010,全,東部,宜蘭縣,肝,220,65.10,66.00
2010,全,東部,宜蘭縣,肺,347,69.70,72.00
2010,全,東部,宜蘭縣,皮膚,75,71.60,76.00
2010,全,東部,宜蘭縣,甲狀腺,54,51.00,51.50
2010,全,東部,宜蘭縣,白血病,62,57.20,68.50
2010,全,東部,宜蘭縣,非何杰金氏淋巴瘤,38,58.40,64.00
2010,全,桃竹苗,苗栗縣,口腔,127,53.40,52.00
2010,全,桃竹苗,苗栗縣,食道,61,58.90,55.00
2010,全,桃竹苗,苗栗縣,胃,92,67.10,71.50
2010,全,桃竹苗,苗栗縣,大腸,357,66.90,69.00
2010,全,桃竹苗,苗栗縣,肝,321,67.00,70.00
